Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
basophil count	EFO_0005090	GCST004618	Common	Continuous	Immunological	Additional	White blood cell count (basophil)	0.82784075		171846.0	27863252	32	596,5709,1021,5029,3106,6261,23185,3568,1232,8826,284805,8328,9586,25778,92797,55248,861,29125,3092,2528,54518,10581,4025,4363,763,9679,285180,81671,23383,6319,29072,7791	0.11388200000000001	0.6385000000000001	57956.5	16.0	0.0324323	8.781681453703706	52.0	1193.0	43.568	1.0255
platelet count	EFO_0004309	GCST004603	Common	Continuous	Hematological	Additional	Platelet count	1.0		166066.0	27863252	143	50650,10767,578,10171,8328,148823,30845,7066,7171,80305,80018,26052,91768,867,163,7168,23186,57787,6311,55711,5339,3106,6006,84749,8315,81027,5890,10257,11252,10954,283349,3717,55604,1029,4130,23293,8630,8019,829,50854,57130,7704,7015,8402,10420,10109,161882,1373,6484,9895,51564,2113,80762,54887,2078,85366,79774,25893,84811,64844,10653,1950,196740,160140,2768,2122,89894,3090,4815,81628,80339,2972,8528,23199,2938,81704,6494,342618,7036,28,4899,7297,10198,9727,830,375449,2812,10053,217,57091,729830,3480,10057,948,9938,55633,10581,147968,114548,421,23495,9780,4330,3083,83729,11216,153830,4209,23236,5062,861,345,596,8997,2590,10788,9047,2130,387332,53827,219654,50807,4650,56952,11030,26119,10644,3842,10673,56034,51079,51513,51085,85439,8654,348,8301,5265,3338,7874,7132,30844,55643	-0.151825	0.7115	70632.0	18.0	0.032264799999999996	13.338135462962963	53.0	1533.5	45.739000000000004	1.0282499999999999
sex hormone-binding globulin measurement	EFO_0004696	GCST90020234	Common	Continuous	Endocrine	Additional	Sex hormone-binding globulin levels	0.9094652	UKB	389354.0	33980691	25	22837,5468,55582,23499,3175,79068,406,80726,84619,23211,5184,104,6934,10642,7916,6514,55118,9671,23140,57497,2065,57594,10144,28,219402	0.45838	0.695	110614.0	13.0	0.0363024	10.696356527777779	52.5	1813.0	64.455	1.026
eosinophil count	EFO_0004842	GCST007065	Common	Continuous	Immunological	Additional	Eosinophil counts	0.986836		440000.0	30595370	372	8809,861,23274,596,60468,57541,80762,2029,1902,55770,1053,54518,10581,1021,3566,10394,3568,8061,8794,51676,5468,23185,57511,6778,549,4088,2186,3717,5728,161882,81858,578,4345,23526,3069,59269,9844,3635,1795,337867,472,23308,55809,4026,151056,2687,22806,5869,55636,5293,3716,79890,4137,2720,64682,473,3560,22823,5275,2625,146198,10320,58513,2313,3559,2731,9448,10301,8019,124540,23624,196,651746,1437,5781,23264,1870,84969,146894,7133,22863,10636,1269,131450,55892,55294,27439,7132,7292,8882,340665,940,84166,1859,5770,10198,11262,6311,3026,864,200734,55196,23199,3727,10666,115727,10767,4092,54491,80008,23176,581,29091,6238,1373,10328,2887,6932,642987,23786,1523,4173,919,5913,4790,8778,28960,3146,7090,10318,151888,146206,80318,5452,53347,54903,1029,115701,85451,51291,5465,10171,6361,6095,23456,7879,121665,955,5062,3554,4676,23092,8935,27244,56952,101928243,23108,51530,5337,29949,3700,3937,54585,5450,8912,79651,3308,4217,51195,7158,51174,89894,4005,51504,4149,200424,80305,1359,1912,1043,130827,5970,147923,6549,3702,55107,348,339834,25936,489,79956,1232,8603,56829,3707,4782,64123,51131,63892,4773,3097,284110,10743,5447,55777,26094,10783,9474,10477,5915,29125,23609,51684,30009,222255,60678,7555,144717,9371,57149,8440,55843,340152,5339,2677,23533,84260,5771,9156,11060,84329,80790,10892,161394,90342,282809,100506736,2078,4520,23216,421,5351,285755,5325,80129,55282,942,55520,113263,401474,100130988,22895,84162,57597,11278,753,23020,6558,3849,8738,164684,11030,51735,51517,26093,23195,3815,94239,995,11055,253558,317649,9020,5536,2185,4925,152206,9402,22990,55729,23235,5195,10291,23026,860,80315,11201,80724,79664,3694,7421,9612,79834,79903,896,6916,6775,2859,85407,112755,23094,9046,9672,182,11146,22925,127,8477,9923,64599,2113,30845,9641,55032,6829,10451,1075,7157,57126,22904,11343,114327,9779,7021,7187,388650,127579,219736,350,84885,51760,23514,126069,84830,672,118429,30844,6919,79726,7163,79987,6777,10079,5922,8208,4249,51278,7874,171019,5584,29993,3096,115290,124359,51061,4843,7293,6504,6310,160851,23141,286053,80012,5795,2166,100652824,11044,818,27086,5890,8672,51741	0.12589	0.735	89797.0	16.0	0.031067	11.304106046296301	53.0	1519.5	49.065	1.026
lymphocyte count	EFO_0004587	GCST004627	Common	Continuous	Immunological	Additional	Lymphocyte count	1.0		171643.0	27863252	96	58513,4049,29072,51274,388931,3574,4126,1788,57707,7332,64005,1029,118429,8826,5062,5937,23526,55843,22806,27086,79966,55289,1901,841,23169,9750,196740,79841,23108,56952,10055,23492,6708,23216,253461,3559,50488,152100,84166,118426,8877,5460,3662,5467,1997,7091,5341,60468,4792,196383,286,9555,10743,2646,50650,23236,2113,473,5788,4063,63893,256227,7185,29123,51571,128611,421,4815,27106,596,84456,111,23495,121599,51564,221895,6239,493,1524,23181,23086,7132,1789,220972,8778,256380,85464,23331,196385,1236,2115,55244,115,64137,23043,23274	0.25316	0.657	105294.5	15.0	0.0569246	11.049223518518518	53.0	1534.5	49.2265	1.026
HDL cholesterol change measurement	EFO_0007805	GCST90134519	Common	Continuous	Lipid Measurement	Additional	HDL cholesterol levels	0.84022176	KoGES	58701.0	35884923	106	116519,9388,348,8315,217,80018,283450,51092,5781,10906,22895,23387,948,23316,8854,4940,10512,6311,949,57468,19,9688,54920,6560,7227,53373,2590,80790,8437,57678,23659,4775,22897,100128927,1810,343099,23499,4301,583,4598,4018,1435,84103,88455,84260,22823,254359,3106,2775,6494,6581,83892,84618,266743,9753,5971,9031,221223,5184,79720,10144,51703,85019,387893,64757,10351,83667,6854,8780,8567,9489,84959,283316,98,23161,55174,1879,3295,221035,84749,10499,80205,10198,80059,4356,29887,55282,6238,3643,89970,22843,6712,283446,54536,84310,154865,220972,221037,7813,23306,254827,83729,25816,57348,4855,22998	0.35284499999999996	0.748	85840.0	15.5	0.0191524	13.397758055555556	54.0	1784.0	61.4435	1.0853333333333335
alkaline phosphatase measurement	EFO_0004533	GCST90011900	Common	Continuous	Metabolic	Additional	Serum alkaline phosphatase levels	0.8213917	UKB|BBJ	390964.0	33547301	121	28,249,2822,221035,283358,6927,2646,79143,26090,53345,341,85363,160897,8792,8854,127,11181,4249,57678,64757,57589,3570,93210,6311,57523,79658,57404,81603,5334,6764,10466,6711,27087,121340,987,6568,10499,3953,124739,9231,9033,4240,11079,7979,114548,353500,4796,4775,152485,80833,6507,253558,26137,57102,55132,800,6487,10509,1109,5467,4772,1810,130399,84062,4092,55062,64710,4137,124359,7205,2046,8939,55553,91828,10241,338,3672,64400,7104,4126,57710,2621,57337,9736,9197,51582,56776,3069,55054,55741,3987,57594,92949,9546,93550,23019,5169,1632,149986,54664,5311,57700,10454,6238,6239,84978,9938,4054,2550,80129,161882,10318,79890,90693,51061,5468,55326,53834,2938,1879,8546	0.035011	0.749	69013.0	16.0	0.0216913	12.646282231481484	54.0	1666.0	52.359	1.0485
bilirubin measurement	EFO_0004570	GCST000386	Common	Continuous	Hematological	Additional	Bilirubin levels	0.77659976		9464.0	19414484	4	10599,5002,8347,8874	-1.105495	1.3935	108602.0	17.0	0.004566954999999999	7.169835101851852	48.0	1638.5	36.4235	1.016375
cystatin c measurement	EFO_0004617	GCST90019504	Common	Continuous	Renal	Additional	Cystatin C levels	0.7960085	UKB	355752.0	33462484	138	6311,128817,63908,5781,51422,10636,23316,1469,57619,204474,92912,79953,6198,22862,81671,3480,9071,3170,142680,23185,7840,1602,3236,91442,10047,26263,57695,79068,54828,5265,22981,2646,256764,197320,22918,348,8416,79819,85004,54622,29842,5819,29123,55603,22864,8395,10651,27132,81502,10002,28981,23341,26289,4633,339965,10452,4126,128821,1593,123591,27237,219931,83852,2322,286676,5314,10599,283450,26152,2939,341019,149095,55170,52,84952,110117499,91646,1728,2778,5150,1520,80128,5136,3706,229,340024,10725,196,2762,1591,26015,161829,6045,10073,57214,6927,22895,3212,8493,1470,3705,4781,84501,1871,5286,53345,128710,8997,4036,51341,5913,4035,23059,3097,1471,55793,2066,8482,65989,3996,4607,64377,54796,83741,25989,4255,55876,10906,7185,120526,63891,57465,23609,150864,4774,26084,8927,64324	0.0677035	0.8825000000000001	65826.5	15.0	0.0140373	9.479767333333337	51.0	1560.0	50.5185	1.026
total blood protein measurement	EFO_0004536	GCST90448632	Common	Continuous	Metabolic	Additional	Total protein levels	0.70690286	G&H	38000.0	39414775	6	23495,2217,2646,84824,57479,84450	-0.27967	0.9219999999999999	31051.0	6.0	0.007962125	11.922184774999998	33.5	1211.0	40.5815	0.8322499999999999
red cell distribution width	EFO_0009188	GCST90448626	Common	Continuous	Hematological	Additional	Red cell distribution width	1.0000001	G&H	38000.0	39414775	13	9780,164656,55692,8312,9055,9727,4350,5693,863,84627,3312,5337,56547	-1.1109	0.821	57798.0	16.0	0.0265232	22.471894629629624	54.0	1833.0	50.926	1.0233333333333334
Alzheimer disease	MONDO_0004975	GCST90038452	Common	Categorical	Neurological	Additional	Alzheimer's disease	0.9692151	ADGC	12772.0	34122051	6	348,5819,10452,602,23624,4360	-0.86076	0.702	17951.5	27.5	0.0804681	30.735349055555567	53.5	1360.5	34.451	0.994625
mean corpuscular hemoglobin	EFO_0004527	GCST90018964	Common	Continuous	Hematological	Additional	Mean corpuscular hemoglobin	0.9999999	BBJ|UKB	478500.0	34594039	207	896,164656,10767,7036,10171,84717,7037,545,147339,10320,2766,220972,80724,55731,7015,8031,84747,23039,3098,9911,92521,6453,23228,51312,9839,7222,11322,150223,6199,94239,27158,26100,28981,596,5981,91748,160140,7018,4005,4218,5207,122416,8140,8850,28,5693,1870,6240,374618,11030,80339,10890,150280,1373,92140,29982,23317,4208,1001,7375,63976,7704,145282,23460,60673,64093,64393,27086,90355,54498,55027,1185,8451,7157,2235,6195,92745,6708,5913,5295,10599,64420,3607,27161,85440,115286,25853,80149,27152,5890,90459,64795,51366,255967,10978,246184,665,2972,3822,10464,11177,60468,9816,84969,55009,5866,2037,978,861,147372,131076,8454,30061,55175,5933,8932,4330,57623,50939,23139,558,57580,80762,252983,2643,2078,51168,55197,57121,64778,4703,4092,9382,9755,28969,50861,25970,55291,23645,23047,949,3146,22936,8665,9156,4363,51130,81889,2687,284,51272,6184,7298,2149,57673,6660,9263,15,26053,10666,23253,23081,55770,5586,22,9261,4756,8837,7066,221188,79718,195828,79068,253782,3669,9638,27131,81618,55671,4173,27316,10296,7295,3899,10735,5915,4552,55656,2992,1106,54511,23300,6522,9262,54914,57644,22870,23232,5819,5334,27332,84310,1232,55636,5570,50512,64839	0.00924495	0.6944999999999999	75163.0	16.0	0.0405342	14.028431481481482	54.0	1566.0	50.021	1.072
total cholesterol measurement	EFO_0004574	GCST006614	Common	Continuous	Lipid Measurement	Additional	Total cholesterol levels	0.8559607		297626.0	30275531	80	1952,341,255738,2646,85440,116519,28,8854,64241,3240,4018,23460,19,150864,28983,6311,433,10767,51614,54014,84310,8701,3717,54918,5265,3931,9846,7436,57563,3840,1284,9489,57678,7332,7813,1997,8647,80714,2039,130399,84908,64757,220972,23187,23317,23224,2140,8856,338,3672,949,51141,200734,55127,54502,90634,10658,6147,126,55289,7227,6921,64116,84181,5195,1021,79677,5244,5339,89910,829,22899,26227,5581,80709,80339,83666,51085,6920,1789	0.28232	0.74	64352.5	17.5	0.0215121	11.894141685185188	53.0	1553.0	52.116	1.0310000000000001
monocyte count	EFO_0005091	GCST004625	Common	Continuous	Immunological	Additional	Monocyte count	0.9999999		170721.0	27863252	91	3676,2322,11146,3394,23765,1021,57787,10320,5159,4069,1053,56952,7813,6311,255967,3783,29091,1524,93624,23223,1045,23495,55289,28,53944,896,10767,1436,55619,79871,7407,596,27106,57533,2651,2113,85464,1240,9368,140688,1435,57707,30844,25953,7132,4046,2308,23236,4794,79890,2859,1029,29072,221395,26112,3115,10019,6239,55213,55057,729230,79722,54838,282809,23026,6513,254428,79865,5062,54855,8844,23293,170463,10393,167465,129080,11072,2077,825,94,440590,421,1282,10581,5293,27113,60675,4784,120425,54878,9150	-0.012392	0.741	67507.0	16.0	0.0259514	10.7307362962963	53.0	1333.0	43.156	1.026
low density lipoprotein cholesterol measurement	EFO_0004611	GCST90278638	Common	Continuous	Lipid Measurement	Additional	Low density lipoprotein cholesterol levels	0.8726377	TWB	92615.0	38116116	28	348,1952,147841,3156,4018,23301,6554,130399,1581,84811,51626,2646,2898,64757,85363,23460,90634,7227,57678,6484,85440,83986,90550,81696,6101,6480,9971,10767	0.230315	0.8645	71865.0	17.5	0.012987410000000001	9.012080398148147	51.5	1429.5	43.0945	1.026
triglyceride measurement	EFO_0004530	GCST008150	Common	Continuous	Lipid Measurement	Additional	Triglyceride levels	0.8229789		4659.0	31170924	4	54331,83853,8569,85440	0.916385	1.1404999999999998	135669.5	14.0	0.0308525	11.59661786574074	52.5	835.0	33.179500000000004	1.0983809523809527
systolic blood pressure	EFO_0006335	GCST90301366	Common	Continuous	Cardiovascular	Additional	Systolic blood pressure	1.0000001	AWI-Gen|UGR|UKB	20230.0	38104120	4	340895,137868,57591,29993	-2.2451499999999998	0.78	484019.0	11.5	0.05750515	10.986635553703707	15.0	1804.5	63.153	1.0451111111111109
coronary artery disease	EFO_0001645	GCST010866	Common	Categorical	Cardiovascular	Additional	Coronary artery disease	0.9999999		649058.0	33020668	99	221692,1952,375056,10933,1909,2242,8613,3988,2982,1284,7040,84439,22808,28,2321,4088,23293,1012,254102,152273,4023,3570,83892,54828,5978,55201,85363,57608,5175,5336,143872,8872,153090,23075,153020,19,949,7372,3250,55022,5654,871,2648,50854,4016,55843,23410,170392,7145,22864,10160,23022,23414,57057,4286,57591,56911,128611,161502,64858,23051,658,25802,55553,10287,7490,152485,406,9508,10461,4140,64241,908,10544,481,5581,9033,55823,716,23263,26058,83988,6916,80005,183,23118,285489,26084,54664,8470,51144,57580,219902,4629,54799,64778,8379,8927,81619	0.054501	0.618	117072.0	20.0	0.0475906	14.078035561111108	53.0	1735.5	55.721	1.0547499999999999
c-reactive protein measurement	EFO_0004458	GCST90025959	Common	Continuous	Hepatic	Additional	C-reactive protein levels	0.8223367	UKB	436939.0	34226706	11	19,1401,3953,3716,114548,28999,432,2538,3988,6097,64170	-0.12382	0.639	25774.0	35.0	0.0194985	10.411673648148149	48.0	1441.0	55.362	1.026
diastolic blood pressure	EFO_0006336	GCST90018952	Common	Continuous	Cardiovascular	Additional	Diastolic blood pressure	1.0000001	BBJ|UKB	485677.0	34594039	135	6311,57139,1185,3777,2242,51196,3643,783,64116,5136,7482,6499,4846,898,128611,54897,23075,22978,4046,6494,4482,4836,776,11173,91012,63976,79628,10198,183,5795,151,26053,152273,406,204474,7871,285025,51319,10287,2078,5314,2028,55553,4650,4881,9351,6655,1107,445815,1012,1879,26579,23334,54620,137682,79875,58489,63895,63892,133482,57282,57787,152110,3693,56913,8502,162494,80790,51312,100101267,5530,54932,440275,10801,57480,5596,64167,2917,2201,7145,90637,5754,5581,29945,255743,2099,8654,10846,51347,7325,5607,1284,6546,57597,1602,594,7525,2200,51594,27327,5000,9267,8476,7156,6625,583,253461,341019,905,10461,1781,9759,10397,100533496,10084,27153,51564,9612,6542,342371,57553,23031,7153,51421,64093,254251,55105,10946,479,288,10769,23028,1654,55308,22839	0.096954	0.602	134407.0	17.0	0.0504942	13.38966251481481	53.0	2230.0	71.203	1.082
crohn's disease	EFO_0000384	GCST90020071	Common	Categorical	Gastrointestinal	Additional	Crohn's disease	1.0	other	1219.0	35232999	8	342346,55182,287,3717,26047,26038,1838,442117	0.34153999999999995	0.749	271489.0	21.5	0.03785055	10.599510661111111	36.5	2615.5	91.526	1.122
glucose measurement	EFO_0004468	GCST90092819	Common	Continuous	Metabolic	Additional	Glucose levels	0.7809682	UKB	114870.0	35213538	12	2645,5214,6514,111,6934,169026,6311,6239,2180,28,63892,5425	0.199435	0.862	107884.0	20.5	0.0278404	13.610349740740741	53.0	1772.5	68.452	1.026
alkaline phosphatase measurement	EFO_0004533	GCST011353	Common	Continuous	Metabolic	Additional	Serum alkaline phosphatase levels	0.8213917		203476.0	33339817	26	249,432,2822,2523,6484,221037,23187,160897,8792,57678,6927,4249,85363,57130,9031,147798,168850,5265,10499,60685,9784,3426,80724,10466,55876,127	0.07441985	0.8534999999999999	67507.0	17.5	0.01424225	13.229372592592593	53.0	1666.5	53.2775	1.0375
bilirubin measurement	EFO_0004570	GCST90278643	Common	Continuous	Hematological	Additional	Total bilirubin levels	0.751319	TWB	92615.0	38116116	8	221037,196,23381,10274,256227,23035,949,406	0.440395	0.567	209391.5	16.5	0.0993861	16.522139814814814	54.0	2424.5	77.65549999999999	1.0796000000000001
platelet count	EFO_0004309	GCST90018749	Common	Continuous	Hematological	Additional	Platelet count	1.0	BBJ	148623.0	34594039	78	8402,7066,578,867,10257,7015,50650,80339,26052,948,91828,221037,91768,57688,2646,84260,55711,375033,57533,285527,342618,8555,22818,393,87,5351,148823,23199,256227,100861540,4815,4650,116519,85363,2078,51411,132671,81,4601,2972,3842,11030,85439,55030,1997,161882,345275,9734,2122,5339,7227,6300,54828,57153,65065,283349,142,219654,30845,56897,26330,4899,7334,5829,54855,23131,5303,472,23039,5719,10788,647087,3705,23192,3312,841,54926,11176	0.179135	0.718	92816.0	15.0	0.040062	12.022506388888889	53.5	1590.5	54.364999999999995	1.0645555555555557
monocyte count	EFO_0005091	GCST90018747	Common	Continuous	Immunological	Additional	Monocyte count	0.9999999	BBJ	95119.0	34594039	23	3676,1021,729230,79966,29091,1053,4140,2029,30844,56926,10767,23765,2078,23526,8740,23223,54502,6239,22925,28,284348,11132,160492	0.013066	0.848	76624.0	17.0	0.01847815	9.929564587037037	51.0	1344.0	44.375	1.026
HDL cholesterol change measurement	EFO_0007805	GCST90448615	Common	Continuous	Lipid Measurement	Additional	HDL cholesterol levels	0.84022176	G&H	38000.0	39414775	15	8882,19,57572,9388,4775,23659,146894,3172,2590,80152,326625,6581,83892,8854,54808	0.10317	0.815	63229.0	21.0	0.0109005	12.764102407407403	54.0	1380.0	54.131	1.1006666666666665
sex hormone-binding globulin measurement	EFO_0004696	GCST90012111	Common	Continuous	Endocrine	Additional	Sex hormone-binding globulin levels	0.9094652	UKB	370125.0	32042192	301	6462,9526,221037,5265,25798,2063,8289,3083,10599,9971,80339,9792,7064,6581,3172,6927,65986,22837,51593,7068,350,406,91647,353500,103,81579,29941,5468,2217,7942,11200,6256,57178,54971,100507650,124997,152940,5017,6655,124739,4763,360023,3142,51155,723961,4774,79658,54980,6660,8416,10613,221895,56899,23042,64900,80709,7453,6239,4644,55219,9628,64757,169792,10786,91748,84456,166,22937,83737,23483,71,80267,4782,3021,8091,3106,8813,26579,6945,1523,221785,3175,85363,7332,3902,10413,9900,57678,84619,1112,2549,23295,5184,54908,65009,5609,6667,10644,126231,166968,1958,23321,4850,9572,2328,596,79832,84072,6197,57553,1021,415,54815,126208,84878,283450,286826,29887,96459,80790,51742,1528,57589,51778,10891,1373,8638,94056,9687,254251,2041,9698,868,1609,9736,8379,57187,5069,5602,5000,51194,196528,22929,65110,2475,5339,23221,51621,55055,6672,54014,10581,81689,90576,51312,84059,55132,64283,27332,23177,23338,90639,134492,64651,10058,23460,55850,26999,79038,51773,55827,23274,9846,10301,2139,54828,4815,7088,140691,4780,90427,81533,57621,1026,3643,2052,345275,84272,222194,60625,54496,63982,64847,23161,151126,4163,1408,23133,3344,54901,22821,8406,3842,256158,23405,10277,6928,140462,79819,10499,25890,400954,84959,389136,254394,5763,2645,22904,2081,59269,8326,28,26074,6809,5625,79631,642,2039,9732,5728,83637,25775,8277,7015,283383,55255,144455,54498,6595,5066,3697,80315,53917,9611,8934,10550,4092,10351,115426,64682,2035,4735,84717,1643,25936,79987,3660,26053,23317,7103,23347,57466,10144,9245,1106,22808,85414,3082,84318,100293516,116461,7111,57495,56997,6095,83938,79991,170392,9332,81615,8754,1185,27134,655,7403,6783,2908,58504,2113,3720,6654,1788,5792,1306,8646,80381,1284,8997,54800,368,10728	0.16778	0.669	78720.0	15.0	0.042820449999999996	13.37371948148148	54.0	1658.0	55.388	1.0808333333333335
